,tone
4920,{'document_tone': {'tones': []}}
4921,"{'document_tone': {'tones': [{'score': 0.83118, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4922,{'document_tone': {'tones': []}}
4923,"{'document_tone': {'tones': [{'score': 0.818917, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4924,"{'document_tone': {'tones': [{'score': 0.92368, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4925,"{'document_tone': {'tones': [{'score': 0.717478, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4926,"{'document_tone': {'tones': [{'score': 0.905852, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4927,"{'document_tone': {'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4928,"{'document_tone': {'tones': [{'score': 0.594562, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4929,"{'document_tone': {'tones': [{'score': 0.594562, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4930,"{'document_tone': {'tones': [{'score': 0.56164, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4931,"{'document_tone': {'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4932,{'document_tone': {'tones': []}}
4933,"{'document_tone': {'tones': [{'score': 0.925519, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4934,{'document_tone': {'tones': []}}
4935,{'document_tone': {'tones': []}}
4936,{'document_tone': {'tones': []}}
4937,"{'document_tone': {'tones': [{'score': 0.840164, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4938,"{'document_tone': {'tones': [{'score': 0.838175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
4939,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4940,"{'document_tone': {'tones': [{'score': 0.907319, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4941,{'document_tone': {'tones': []}}
4942,"{'document_tone': {'tones': [{'score': 0.930025, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Nice hotel.', 'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Great location!', 'tones': [{'score': 0.588462, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
4943,"{'document_tone': {'tones': [{'score': 0.687329, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
4944,"{'document_tone': {'tones': [{'score': 0.842565, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4945,"{'document_tone': {'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4946,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.99997, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4947,"{'document_tone': {'tones': [{'score': 0.60932, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4948,{'document_tone': {'tones': []}}
4949,{'document_tone': {'tones': []}}
4950,"{'document_tone': {'tones': [{'score': 0.552106, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4951,"{'document_tone': {'tones': [{'score': 0.628524, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4952,"{'document_tone': {'tones': [{'score': 0.737023, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4953,{'document_tone': {'tones': []}}
4954,"{'document_tone': {'tones': [{'score': 0.54894, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4955,"{'document_tone': {'tones': [{'score': 0.873398, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4956,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4957,"{'document_tone': {'tones': [{'score': 0.855222, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4958,"{'document_tone': {'tones': [{'score': 0.879276, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4959,"{'document_tone': {'tones': [{'score': 0.789775, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4960,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4961,"{'document_tone': {'tones': [{'score': 0.578767, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4962,"{'document_tone': {'tones': [{'score': 0.883755, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4963,"{'document_tone': {'tones': [{'score': 0.883755, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4964,"{'document_tone': {'tones': [{'score': 0.545474, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4965,{'document_tone': {'tones': []}}
4966,"{'document_tone': {'tones': [{'score': 0.63824, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4967,"{'document_tone': {'tones': [{'score': 0.686224, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4968,{'document_tone': {'tones': []}}
4969,"{'document_tone': {'tones': [{'score': 0.769936, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4970,{'document_tone': {'tones': []}}
4971,"{'document_tone': {'tones': [{'score': 0.851187, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4972,"{'document_tone': {'tones': [{'score': 0.852422, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4973,{'document_tone': {'tones': []}}
4974,{'document_tone': {'tones': []}}
4975,"{'document_tone': {'tones': [{'score': 0.818466, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4976,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Staff was unbelievable!', 'tones': []}, {'sentence_id': 1, 'text': 'Esp Alvaro the bartender!', 'tones': []}]}"
4977,{'document_tone': {'tones': []}}
4978,{'document_tone': {'tones': []}}
4979,"{'document_tone': {'tones': [{'score': 0.788261, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4980,{'document_tone': {'tones': []}}
4981,{'document_tone': {'tones': []}}
4982,{'document_tone': {'tones': []}}
4983,"{'document_tone': {'tones': [{'score': 0.907823, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4984,"{'document_tone': {'tones': [{'score': 0.500245, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4985,{'document_tone': {'tones': []}}
4986,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4987,"{'document_tone': {'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4988,"{'document_tone': {'tones': [{'score': 0.903707, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4989,"{'document_tone': {'tones': [{'score': 0.908063, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4990,{'document_tone': {'tones': []}}
4991,"{'document_tone': {'tones': [{'score': 0.903046, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4992,{'document_tone': {'tones': []}}
4993,{'document_tone': {'tones': []}}
4994,"{'document_tone': {'tones': [{'score': 0.87635, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4995,"{'document_tone': {'tones': [{'score': 0.713953, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4996,{'document_tone': {'tones': []}}
4997,"{'document_tone': {'tones': [{'score': 0.642134, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.939594, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4998,"{'document_tone': {'tones': [{'score': 0.90463, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.999238, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4999,"{'document_tone': {'tones': [{'score': 0.90463, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.999238, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5000,"{'document_tone': {'tones': [{'score': 0.90463, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.999238, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5001,"{'document_tone': {'tones': [{'score': 0.90463, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.999238, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
5002,"{'document_tone': {'tones': [{'score': 0.90463, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.999238, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
5003,"{'document_tone': {'tones': [{'score': 0.785646, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Great location.', 'tones': [{'score': 0.548607, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Quiet room in Old Town', 'tones': []}]}"
5004,{'document_tone': {'tones': []}}
5005,"{'document_tone': {'tones': [{'score': 0.852055, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5006,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5007,"{'document_tone': {'tones': [{'score': 0.784147, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5008,{'document_tone': {'tones': []}}
5009,{'document_tone': {'tones': []}}
5010,"{'document_tone': {'tones': [{'score': 0.544576, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5011,"{'document_tone': {'tones': [{'score': 0.753635, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5012,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5013,"{'document_tone': {'tones': [{'score': 0.767543, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5014,"{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5015,"{'document_tone': {'tones': [{'score': 0.870362, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5016,{'document_tone': {'tones': []}}
5017,"{'document_tone': {'tones': [{'score': 0.775499, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5018,"{'document_tone': {'tones': [{'score': 0.585193, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5019,{'document_tone': {'tones': []}}
5020,{'document_tone': {'tones': []}}
5021,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5022,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
5023,"{'document_tone': {'tones': [{'score': 0.797908, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5024,{'document_tone': {'tones': []}}
5025,"{'document_tone': {'tones': [{'score': 0.7828, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5026,"{'document_tone': {'tones': [{'score': 0.895882, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5027,{'document_tone': {'tones': []}}
5028,"{'document_tone': {'tones': [{'score': 0.882758, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
5029,"{'document_tone': {'tones': [{'score': 0.572843, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
5030,"{'document_tone': {'tones': [{'score': 0.724631, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5031,"{'document_tone': {'tones': [{'score': 0.759723, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5032,"{'document_tone': {'tones': [{'score': 0.808611, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5033,"{'document_tone': {'tones': [{'score': 0.778679, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5034,{'document_tone': {'tones': []}}
5035,"{'document_tone': {'tones': [{'score': 0.766321, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5036,"{'document_tone': {'tones': [{'score': 0.766321, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5037,"{'document_tone': {'tones': [{'score': 0.826846, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5038,"{'document_tone': {'tones': [{'score': 0.809988, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5039,"{'document_tone': {'tones': [{'score': 0.809988, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5040,"{'document_tone': {'tones': [{'score': 0.911896, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5041,"{'document_tone': {'tones': [{'score': 0.798135, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5042,{'document_tone': {'tones': []}}
5043,{'document_tone': {'tones': []}}
5044,"{'document_tone': {'tones': [{'score': 0.550142, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5045,"{'document_tone': {'tones': [{'score': 0.829916, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5046,"{'document_tone': {'tones': [{'score': 0.830915, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5047,"{'document_tone': {'tones': [{'score': 0.719963, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5048,"{'document_tone': {'tones': [{'score': 0.583389, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5049,{'document_tone': {'tones': []}}
5050,{'document_tone': {'tones': []}}
5051,{'document_tone': {'tones': []}}
5052,"{'document_tone': {'tones': [{'score': 0.683794, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5053,"{'document_tone': {'tones': [{'score': 0.825739, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5054,{'document_tone': {'tones': []}}
5055,"{'document_tone': {'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5056,"{'document_tone': {'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5057,"{'document_tone': {'tones': [{'score': 0.867622, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5058,"{'document_tone': {'tones': [{'score': 0.820937, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
5059,"{'document_tone': {'tones': [{'score': 0.776861, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5060,{'document_tone': {'tones': []}}
5061,"{'document_tone': {'tones': [{'score': 0.961462, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5062,"{'document_tone': {'tones': [{'score': 0.558523, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5063,"{'document_tone': {'tones': [{'score': 0.558523, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5064,"{'document_tone': {'tones': [{'score': 0.762859, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5065,"{'document_tone': {'tones': [{'score': 0.762859, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5066,"{'document_tone': {'tones': [{'score': 0.906519, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5067,"{'document_tone': {'tones': [{'score': 0.904036, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5068,"{'document_tone': {'tones': [{'score': 0.64198, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5069,"{'document_tone': {'tones': [{'score': 0.75373, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5070,"{'document_tone': {'tones': [{'score': 0.536258, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5071,"{'document_tone': {'tones': [{'score': 0.536258, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5072,{'document_tone': {'tones': []}}
5073,{'document_tone': {'tones': []}}
5074,{'document_tone': {'tones': []}}
5075,{'document_tone': {'tones': []}}
5076,"{'document_tone': {'tones': [{'score': 0.574853, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5077,"{'document_tone': {'tones': [{'score': 0.935837, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5078,"{'document_tone': {'tones': [{'score': 0.719963, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5079,"{'document_tone': {'tones': [{'score': 0.667548, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5080,"{'document_tone': {'tones': [{'score': 0.516251, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5081,"{'document_tone': {'tones': [{'score': 0.695652, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
5082,"{'document_tone': {'tones': [{'score': 0.604542, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5083,{'document_tone': {'tones': []}}
5084,"{'document_tone': {'tones': [{'score': 0.921225, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Great Old Town location!', 'tones': [{'score': 0.793693, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Fabulous stay!', 'tones': [{'score': 0.882713, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
5085,"{'document_tone': {'tones': [{'score': 0.873698, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5086,"{'document_tone': {'tones': [{'score': 0.796133, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5087,"{'document_tone': {'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5088,"{'document_tone': {'tones': [{'score': 0.921899, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5089,"{'document_tone': {'tones': [{'score': 0.548395, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5090,{'document_tone': {'tones': []}}
5091,{'document_tone': {'tones': []}}
5092,{'document_tone': {'tones': []}}
5093,{'document_tone': {'tones': []}}
5094,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5095,{'document_tone': {'tones': []}}
5096,"{'document_tone': {'tones': [{'score': 0.814354, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5097,"{'document_tone': {'tones': [{'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5098,"{'document_tone': {'tones': [{'score': 0.786701, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5099,"{'document_tone': {'tones': [{'score': 0.911575, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Was enjoyable and relaxing.', 'tones': [{'score': 0.785166, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Loved the balcony', 'tones': [{'score': 0.873445, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
5100,"{'document_tone': {'tones': [{'score': 0.911575, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Was enjoyable and relaxing.', 'tones': [{'score': 0.785166, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Loved the balcony', 'tones': [{'score': 0.873445, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
5101,{'document_tone': {'tones': []}}
5102,"{'document_tone': {'tones': [{'score': 0.578282, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
5103,{'document_tone': {'tones': []}}
5104,"{'document_tone': {'tones': [{'score': 0.844694, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5105,{'document_tone': {'tones': []}}
5106,"{'document_tone': {'tones': [{'score': 0.697206, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5107,{'document_tone': {'tones': []}}
5108,"{'document_tone': {'tones': [{'score': 0.718006, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5109,{'document_tone': {'tones': []}}
5110,{'document_tone': {'tones': []}}
5111,"{'document_tone': {'tones': [{'score': 0.70123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
5112,"{'document_tone': {'tones': [{'score': 0.880793, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5113,{'document_tone': {'tones': []}}
5114,"{'document_tone': {'tones': [{'score': 0.738708, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5115,"{'document_tone': {'tones': [{'score': 0.738708, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5116,{'document_tone': {'tones': []}}
5117,"{'document_tone': {'tones': [{'score': 0.854889, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
5118,"{'document_tone': {'tones': [{'score': 0.963677, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Great happy hour.', 'tones': [{'score': 0.939915, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Fab stay.', 'tones': [{'score': 0.870791, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
5119,"{'document_tone': {'tones': [{'score': 0.812671, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
